Año;Clave_Ent;Entidad;Cve. Municipio;Municipio;Bien jurídico afectado;Tipo de delito;Subtipo de delito;Modalidad;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2015;1;Aguascalientes;1001;Aguascalientes;Libertad personal;Otros delitos que atentan contra la libertad personal;Otros delitos que atentan contra la libertad personal;Otros delitos que atentan contra la libertad personal;8;9;10;13;0;6;2;0;0;0;0;2
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Abuso sexual;Abuso sexual;Abuso sexual;5;4;0;2;1;1;1;1;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Acoso sexual;Acoso sexual;Acoso sexual;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Hostigamiento sexual;Hostigamiento sexual;Hostigamiento sexual;1;1;0;1;1;0;1;0;0;1;0;3
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Violación simple;Violación simple;Violación simple;4;2;3;11;2;9;7;5;3;5;4;6
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Violación equiparada;Violación equiparada;Violación equiparada;0;2;3;5;2;1;1;2;2;4;2;0
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Incesto;Incesto;Incesto;0;0;0;0;0;0;0;0;1;0;0;1
2015;1;Aguascalientes;1001;Aguascalientes;La libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;Otros delitos que atentan contra la libertad y la seguridad sexual;16;12;14;17;19;26;21;15;13;19;15;14
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a casa habitación;Sin violencia;172;151;181;155;170;182;173;168;158;144;201;171
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de coche de 4 ruedas Con violencia;4;1;4;3;0;1;1;5;2;5;6;4
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de coche de 4 ruedas Sin violencia;114;106;122;124;138;94;89;93;126;105;152;171
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de motocicleta Con violencia;1;0;1;0;0;0;0;2;0;0;1;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de motocicleta Sin violencia;23;24;21;20;23;17;8;33;29;33;39;34
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de embarcaciones pequeñas y grandes Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de vehículo automotor;Robo de embarcaciones pequeñas y grandes Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de autopartes;Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de autopartes;Sin violencia;94;123;137;108;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a transportista;Con violencia;0;0;0;0;1;0;0;0;0;0;1;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a transportista;Sin violencia;0;0;0;0;0;1;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a transeúnte en vía pública;Con violencia;33;28;45;42;47;34;45;54;34;24;48;30
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a transeúnte en vía pública;Sin violencia;84;131;141;105;93;84;77;76;87;54;76;61
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a transeúnte en espacio abierto al público;Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a transeúnte en espacio abierto al público;Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo en transporte público individual;Con violencia;2;1;0;1;0;0;3;2;2;0;0;2
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo en transporte público individual;Sin violencia;0;6;4;5;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo en transporte público colectivo;Con violencia;1;0;0;0;3;4;0;0;6;1;3;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo en transporte público colectivo;Sin violencia;8;0;0;0;5;1;5;0;9;3;3;4
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo en transporte individual;Con violencia;1;4;1;2;2;0;4;2;0;1;1;2
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo en transporte individual;Sin violencia;2;0;2;1;1;2;1;3;0;2;3;1
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a institución bancaria;Con violencia;1;0;1;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a institución bancaria;Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a negocio;Con violencia;9;10;10;11;11;6;10;18;8;3;14;14
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo a negocio;Sin violencia;96;68;107;97;96;89;80;105;91;101;79;94
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de ganado;Con violencia;0;0;0;0;0;0;0;1;0;1;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de ganado;Sin violencia;4;6;2;6;5;0;9;4;7;6;11;7
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de maquinaria;Robo de herramienta industrial o agrícola Con violencia;0;0;1;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de maquinaria;Robo de herramienta industrial o agrícola Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de maquinaria;Robo de tractores Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de maquinaria;Robo de tractores Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de maquinaria;Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Robo de maquinaria;Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Otros robos;Con violencia;0;1;0;1;1;0;0;0;0;0;0;3
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Robo;Otros robos;Sin violencia;65;54;69;55;173;159;163;153;147;167;184;197
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Fraude;Fraude;Fraude;103;54;89;99;73;100;93;68;71;84;66;65
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Abuso de confianza;Abuso de confianza;Abuso de confianza;38;27;23;16;30;35;23;32;32;26;37;20
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Extorsión;Extorsión;Extorsión;1;3;0;2;6;1;0;3;2;4;4;2
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Daño a la propiedad;Daño a la propiedad;Daño a la propiedad;166;147;158;128;97;123;122;120;138;113;103;96
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Despojo;Despojo;Despojo;15;11;11;12;9;15;6;14;14;17;8;8
2015;1;Aguascalientes;1001;Aguascalientes;El patrimonio;Otros delitos contra el patrimonio;Otros delitos contra el patrimonio;Otros delitos contra el patrimonio;0;0;0;0;0;0;0;0;0;0;1;0
2015;1;Aguascalientes;1001;Aguascalientes;La familia;Violencia familiar;Violencia familiar;Violencia familiar;18;36;24;24;28;28;35;38;47;53;40;39
2015;1;Aguascalientes;1001;Aguascalientes;La familia;Violencia de género en todas sus modalidades distinta a la violencia familiar;Violencia de género en todas sus modalidades distinta a la violencia familiar;Violencia de género en todas sus modalidades distinta a la violencia familiar;0;0;0;0;0;0;0;0;1;1;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La familia;Incumplimiento de obligaciones de asistencia familiar;Incumplimiento de obligaciones de asistencia familiar;Incumplimiento de obligaciones de asistencia familiar;9;14;8;5;16;19;8;15;15;15;12;5
2015;1;Aguascalientes;1001;Aguascalientes;La familia;Otros delitos contra la familia;Otros delitos contra la familia;Otros delitos contra la familia;0;0;0;0;6;6;5;11;10;3;7;9
2015;1;Aguascalientes;1001;Aguascalientes;La sociedad;Corrupción de menores;Corrupción de menores;Corrupción de menores;3;2;6;2;6;4;6;3;3;4;4;1
2015;1;Aguascalientes;1001;Aguascalientes;La sociedad;Trata de personas;Trata de personas;Trata de personas;1;0;0;0;0;0;1;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;La sociedad;Otros delitos contra la sociedad;Otros delitos contra la sociedad;Otros delitos contra la sociedad;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Narcomenudeo;Narcomenudeo;Narcomenudeo;26;36;34;35;50;50;50;78;44;55;45;54
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Amenazas;Amenazas;Amenazas;87;97;80;103;80;98;83;83;67;87;65;61
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Allanamiento de morada;Allanamiento de morada;Allanamiento de morada;12;8;15;13;10;13;16;16;11;6;0;9
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Evasión de presos;Evasión de presos;Evasión de presos;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Falsedad;Falsedad;Falsedad;4;7;8;3;10;7;7;8;11;6;7;5
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Falsificación;Falsificación;Falsificación;27;21;19;18;27;22;27;32;21;16;11;15
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Contra el medio ambiente;Contra el medio ambiente;Contra el medio ambiente;0;0;1;0;1;0;0;0;0;0;2;0
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Delitos cometidos por servidores públicos;Delitos cometidos por servidores públicos;Delitos cometidos por servidores públicos;1;2;0;0;1;0;1;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Electorales;Electorales;Electorales;0;0;0;0;1;0;0;0;0;0;0;0
2015;1;Aguascalientes;1001;Aguascalientes;Otros bienes jurídicos afectados (del fuero común);Otros delitos del Fuero Común;Otros delitos del Fuero Común;Otros delitos del Fuero Común;63;66;53;61;72;92;108;61;85;98;99;82
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con arma de fuego;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con arma blanca;0;0;0;0;0;0;0;0;0;0;0;0
2015;1;Aguascalientes;1002;Asientos;La vida y la Integridad corporal;Homicidio;Homicidio doloso;Con otro elemento;0;0;0;1;0;0;0;0;0;0;0;0
